"","recipient_name","product_or_service_code_description","total_obligated_amount","current_total_value_of_award","award_base_action_date","award_latest_action_date","period_of_performance_start_date","period_of_performance_current_end_date","primary_place_of_performance_state_name","naics_description","prime_award_base_transaction_description"
"826","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",113760.69,113760.69,"6/30/16","4/30/18","6/30/16","12/31/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER 62 GRAIN STANDARD DUTY AMMO (MODEL#: XM223SP1PB)"
"827","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",63244.47,63244.47,"6/30/16","3/29/18","6/30/16","7/4/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W 180 GRAIN AMMUNITION - PART # XM40HC"
"828","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",7001.88,NA,"6/30/16","1/3/17","6/30/16","1/3/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMO TYPE: .40 SW 125 GRAIN CASES: 19 @ 1000 ROUNDS PER CASE PER CASE: $368.52 CONTRACT: HSFLGL-16-D-00001 PART # BC40CT1 TOTAL AMMUNITION: 19,000 ROUNDS"
"829","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",9950.04,NA,"6/30/16","1/3/17","6/30/16","1/3/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMO TYPE: .40 SW 125 GRAIN CASES: 27 @ 1000 ROUNDS PER CASE CONTRACT: HSFLGL-16-D-00001"
"830","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",7307.13,7307.13,"7/5/16","9/7/17","7/5/16","6/15/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","ORDER 29 CASES OF OF FEDERAL .40 CALIBER S&W 180 GRAIN AMMUNITION AT $251.97 PER CASE; CONTRACT HSCEMS-12-D-00001. FUNDING PROGRAM IS CBP OFFICE OF INTELLIGENCE (OI).  OART ;XM40HC."
"831","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",53672.64,53672.64,"7/19/16","7/19/16","7/19/16","12/15/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12 GA SV 00 BUCKSHOT AMMUNITION AT $109.76 PER CASE OF 250 ROUNDS FOR FEDERAL PROTECTIVE SERVICE (FPS). PART # ZLE127 00DHS. CBP CONTRACT HSBP10-14-D-00022."
"832","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",44355.6,NA,"8/3/16","3/13/17","8/3/16","3/13/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER 100 GRAIN (120 CASES AT 1000 ROUNDS PER CASE)PART NUMBER 53365 REDUCED HAZARD TRAINING AMMUNITION(RHTA)"
"833","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",31692.72,31692.72,"7/29/16","7/29/16","7/29/16","11/30/16","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".40 S&W, 125 GRAIN AMMUNITION, P/N BC40CT1"
"834","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",19163.04,19163.04,"8/8/16","4/19/18","8/8/16","12/6/20","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 SW 125 GRAIN AMMUNITION, P/N: BC40CT1."
"835","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",3152.6,3152.6,"8/18/16","8/18/16","8/18/16","9/29/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".38 SPECIAL +P CALIBER (135 GRAIN) GDHP AMMUNITION, PART # 53927"
"836","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",404159.88,404159.88,"8/17/16","7/26/21","8/16/16","1/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","1604 CASES OF OF .40 CALIBER S&W 180 GRAIN AMMUNITION"
"837","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",383463,383463,"8/18/16","4/30/19","8/18/16","3/1/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER 62 GRAIN STANDARD DUTY AMMO (MODEL#: XM223SP1PB)"
"838","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",30250.97,30250.97,"8/22/16","5/7/18","8/22/16","12/31/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","IGF::CT::IGF PURCHASE 64300 ROUNDS OF .223 62GR DUTY. CONTRACT: HSCEMS-13-D-00001 FOR CBP/ OPR.  P/NXM223SP1PB. ALT COR: PHIL QUIGLEY"
"839","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",364600.59,364600.59,"8/29/16","3/27/18","8/29/16","1/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","1447 CASES OF .40 CALIBER S&W 180 GR. AMMUNITION AT $251.97 PER CASE; CONTRACT HSCEMS-12-D-00001. PROGRAM IS CBP OAM."
"840","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",33166.8,33166.8,"8/22/16","4/24/18","8/22/16","12/30/16","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMO TYPE:  .40 SW CASES:  90 @ 1000 ROUNDS PER CASE PART #BC40CT1 PER CASE:  $368.52"
"841","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",24905.54,24905.54,"9/5/16","9/5/16","9/5/16","2/21/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".38 SPECIAL +P CALIBER (135 GRAIN) GDHP AMMUNITION, PART # 53925"
"842","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",50394,50394,"9/9/16","5/30/18","9/9/16","7/5/17","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER JACKETED HOLLOW POINT AMMUNITION"
"843","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",377071.95,377071.95,"9/9/16","5/2/24","9/9/16","3/27/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER 62 GRAIN STANDARD DUTY AMMO (PART#: XM223SP1PB)"
"844","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",10976,10976,"8/25/16","3/24/21","8/25/16","1/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","100 CASES OF FEDERAL 12 GA SV 00 BUCKSHOT AMMUNITION AT 250 ROUNDS/CASE FOR CBP SOG. PART # ZLE127 00DHS."
"845","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",25025.28,25025.28,"8/29/16","4/20/22","8/29/16","1/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","228 CASES OF FEDERAL 12 GA SV 00 BUCKSHOT AMMUNITION AT $109.76 PER CASE OF 250 ROUNDS FOR CBP OAM. PART # ZLE127 00DHS. CBP CONTRACT HSBP10-14-D-00022."
"846","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",2015760,2015760,"9/6/16","5/3/18","9/6/16","8/21/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER S&W 180 GR. AMMUNITION"
"847","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",1405604.93,1405604.93,"9/15/16","9/15/16","9/15/16","4/28/17","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".223 CALIBER, 62 GRAIN AMMUNITION FOR CBP"
"848","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",213035,213035,"9/16/16","9/16/16","9/16/16","4/28/17","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".223 CALIBER, 62 GRAIN AMMUNITION FOR CBP-SOG"
"849","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",126585,126585,"8/31/16","8/31/16","8/31/16","1/10/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".308 WIN 165 GR BONDED TACTICAL AMMUNITION, PN LE308T1, 500 CASES @ $253.17, 100,000 RDS (200RDS/CSE). SHIP LOCATION MUST BE PROVIDED TO THE COR WITHIN TWO (2) BUSINESS DAYS OF SHIPMENT DEPARTURE."
"850","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",4926.2,4926.2,"9/23/16","9/23/16","9/23/16","3/7/17","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P (124 GR) GDHP, PART # 53927"
"851","RECONROBOTICS, INC","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS",216776.84,216776.84,"8/15/17","3/23/20","8/15/17","10/2/17","MINNESOTA","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","THROWBOT XT AUDIO KIT"
"852","JEREMY MEYER","OFFICE SUPPLIES",23132.85,23132.85,"9/21/17","8/17/18","9/21/17","10/23/17","MINNESOTA","CARBON PAPER AND INKED RIBBON MANUFACTURING","IGF::OT::IGF  TONER SUPPLIES FOR ICE OFM HQ HP OEM"
"853","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",159748.98,159748.98,"11/3/16","11/6/17","11/3/16","1/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE OF 634 CASES OF .40 CAL. S&W 180 GR. AMMUNITION"
"854","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",19960.02,19960.02,"12/6/16","11/30/17","12/6/16","3/6/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"855","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",15109.32,15109.32,"12/6/16","4/12/18","12/6/16","3/6/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"856","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",463120.86,463120.86,"12/6/16","8/1/21","12/6/16","1/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 S&W 180 GR. AMMUNITION, PART# XM 40HC, FOR ICE / ERO."
"857","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",28724.58,28724.58,"12/8/16","8/31/18","12/8/16","7/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE 114 CS OF .40 CAL. S&W 180 GR. AMMUNITION. CONTRACT HSCEMS-12-D-00001. PROGRAM IS ICE ERO."
"858","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",58709.01,58709.01,"12/8/16","4/25/22","12/8/16","9/29/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE 233 CS OF .40 CAL. S&W 180 GR. AMMUNITION. CONTRACT HSCEMS-12-D-00001. PROGRAM IS ICE ERO."
"859","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",39811.26,39811.26,"12/8/16","4/25/22","12/8/16","9/29/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","PURCHASE 158 CS OF .40 CAL. S&W 180 GR. AMMUNITION. CONTRACT HSCEMS-12-D-00001. PROGRAM IS ICE ERO."
"860","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",363307.25,363307.25,"3/1/17","5/30/18","3/1/17","5/31/17","IDAHO","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P CALIBER (124 GRAIN) GDHP DUTY AMMUNITION; PART NUMBER 53927"
"861","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",500090,500090,"3/13/17","7/20/21","3/13/17","12/31/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"862","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",13278,13278,"3/13/17","3/9/20","3/13/17","5/1/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12 GAUGE TARGET, PART # TGL127.5"
"863","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",11310.6,11310.6,"3/13/17","11/30/17","3/13/17","12/6/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"864","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",11310.6,11310.6,"3/13/17","8/31/18","3/13/17","6/15/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","IGF:OT:IGF REDUCED HAZARD TRAINING AMMUNITION (RHTA) AMMO TYPE:  9MM 100 GRAIN"
"865","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",15035.52,15035.52,"3/27/17","11/30/17","3/27/17","12/6/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"866","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",4609.92,4609.92,"3/13/17","4/2/20","3/13/17","5/14/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","12 GAUGE BUCK AMMUNITION, PART #ZLE127 00DHS"
"867","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",649765.78,649765.78,"3/28/17","5/30/18","3/28/17","9/26/17","DISTRICT OF COLUMBIA","SMALL ARMS AMMUNITION MANUFACTURING","9MM LUGER +P CALIBER (124 GRAIN) GDHP DUTY AMMUNITION; PART NUMBER 53927"
"868","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",15787.38,15787.38,"3/23/17","4/11/18","3/23/17","5/23/17","GEORGIA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA) 42 CASES OF .40 FRANGIBLE 125 GRAIN PART # BC40CT1"
"869","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",7517.76,7517.76,"3/23/17","4/9/19","3/24/17","5/22/17","GEORGIA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"870","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",7517.76,7517.76,"3/27/17","4/9/19","3/27/17","12/6/17","GEORGIA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"871","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",37589,37589,"3/28/17","4/18/19","3/28/17","12/6/17","GEORGIA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"872","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",754.04,754.04,"4/7/17","1/16/18","4/7/17","6/4/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"873","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",3870,3870,"4/5/17","12/11/17","4/5/17","5/26/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"874","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",447.04,447.04,"4/26/17","2/14/20","4/26/17","5/27/17","TEXAS","SMALL ARMS AMMUNITION MANUFACTURING","COMMERCIAL LEAD TRAINING AMMUNITION (CLTA)"
"875","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",1334.28,1334.28,"4/27/17","2/19/20","4/27/17","5/27/17","WEST VIRGINIA","SMALL ARMS AMMUNITION MANUFACTURING","COMMERCIAL LEAD TRAINING AMMUNITION (CLTA)"
"876","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",375.89,375.89,"4/7/17","11/21/17","4/7/17","6/4/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"877","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",667.14,667.14,"4/27/17","2/13/20","4/27/17","5/27/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","COMMERCIAL LEAD TRAINING AMMUNITION (CLTA)"
"878","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",9021.36,9021.36,"4/20/17","2/28/20","4/20/17","7/17/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","CONTRACT#:  HSFLGL-16-D-00001 CBP-BPA-FTQC FLETC AUTH: HSFLGL17VISTA01-144 DELIVERY:MICHAEL HOLT ENTERPRISE SERVICES US BORDER PATROL ACADEMY (BPA) 91 GUNPOWDER BLVD. ARTESIA, NM 88210 575-748-0654 OR 575-639-0823"
"879","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",113520,113520,"4/7/17","12/11/17","4/7/17","5/27/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"880","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",28472.61,28472.61,"4/12/17","5/3/18","4/12/17","7/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER JACKETED HOLLOW POINT AMMUNITION, PN: XM40HC"
"881","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",26960.79,26960.79,"4/12/17","11/8/17","4/12/17","7/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","40 CALIBER JACKETED HOLLOW POINT AMMUNITION, PN: XM40HC"
"882","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",5638.32,5638.32,"4/20/17","4/14/20","4/20/17","7/25/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","CBP-LESC-FTB//CONTRACT#:  HSFLGL-16-D-00001 FLETC AUTH: HSFLGL17VISTA01-146 DELIVERY:JEREMY SCHAPPELL 440 KOONCE ROAD HARPERS FERRY, WV 25425 304-724-5810 OR 928-247-2660"
"883","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",860,860,"5/3/17","4/13/18","5/3/17","6/5/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"884","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",1023.92,1023.92,"4/19/17","2/19/20","4/19/17","5/19/17","WEST VIRGINIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMO TYPE: 7.62 X 39 SOVIET, 123 GRAIN"
"885","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",3495.06,3495.06,"4/18/17","8/31/18","4/18/17","6/9/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","9MM 98 GRAIN AMMUNITION, PART # BC9P1"
"886","VISTA OUTDOOR SALES LLC","MISCELLANEOUS AMMUNITION",9000.32,9000.32,"4/27/17","4/12/18","4/27/17","7/19/17","WEST VIRGINIA","SMALL ARMS AMMUNITION MANUFACTURING","82 CS OF 12 GA SV BUCK AMMUNITION, PART #ZLE127 00DHS, $109.76 PER CASE OF 250 ROUNDS"
"887","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",1885.1,1885.1,"5/17/17","4/23/18","5/17/17","7/17/17","WEST VIRGINIA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"888","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",16915.05,16915.05,"4/27/17","3/2/20","4/27/17","7/5/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","HSFLGL-16-D-00001 CBP-LESC-FTB//FLETC AUTH: HSFLGL17VISTA01-145 DELIVERY:JEREMY SCHAPPELL 440 KOONCE ROAD HARPERS FERRY, WV 25425 304-724-5810 OR 928-247-2660"
"889","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",275907.15,275907.15,"6/14/17","6/19/18","6/14/17","1/24/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER JACKETED HOLLOW POINT AMMUNITION, PART #XM40HC"
"890","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",372915.6,372915.6,"5/9/17","2/11/20","5/9/17","12/19/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","1480 CS OF .40 CALIBER 180 GRAIN JHP AMMUNITION, PART #XM40HC, AT $251.97 PER CASE OF 1000 ROUNDS. NOTIFY RECIPIENT 48 HOURS PRIOR TO DELIVERY.  ERO/HSI DISTRIBUTION LIST TO BE PROVIDED AT A LATER DATE."
"891","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",2349.3,2349.3,"5/8/17","11/30/17","5/8/17","6/8/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"892","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",20673.95,20673.95,"5/18/17","4/23/18","5/18/17","7/17/17","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMO TYPE: .40 FRANGIBLE AMMUNITION"
"893","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",1623,1623,"6/6/17","2/19/20","6/6/17","9/6/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","COMMERCIAL LEAD TRAINING AMMUNITION (CLTA)"
"894","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",1082,1082,"5/24/17","4/23/18","5/24/17","7/25/17","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".38 SPL 158 GRAIN SWC AMMUNITION, PART# 38G"
"895","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",6578.04,6578.04,"5/18/17","8/8/19","5/18/17","7/18/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","AMMO TYPE .223 FRANGILE CONTRACT: HSFLGL-16-D00001 CBP DELIVERY:THOMAS O'KANE BLDG 11169 DUNCAN $SSG SIMSSTREET EL PASO TEXAS 79916 915-231-5119 OR 915-929-3358"
"896","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",0,0,"6/29/17","4/5/19","6/29/17","4/27/18","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER JACKETED HOLLOW POINT AMMUNITION"
"897","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",245960,245960,"5/31/17","10/25/19","5/31/17","12/31/17","TEXAS","SMALL ARMS AMMUNITION MANUFACTURING","AMMO TYPE: .223 DUTY AMMUNITION CASES: 572 @ 900 ROUNDS PER CASE CONTRACT: HSCEMS-13-D-00001 DELIVERY:: THOMAS O'KANE BLDG. 11169 DUNCAN&SSG SIMMS STREET BIGGS AAF EL PASO TX., 79916"
"898","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",24684.18,24684.18,"6/2/17","8/17/18","6/2/17","4/11/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","COMMERCIAL LEAD TRAINING AMMUNITION (CLTA)"
"899","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",37589,37589,"6/2/17","11/30/17","6/2/17","12/6/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"900","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",4524.24,4524.24,"6/2/17","8/17/18","6/2/17","12/6/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"901","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",282206.4,282206.4,"6/5/17","12/15/20","6/5/17","4/19/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","1120 CS OF .40 CALIBER 180 GRAIN JHP AMMUNITION, PART #XM40HC, AT $251.97 PER CASE - DELIVER TO FPS"
"902","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",260580,260580,"6/2/17","7/17/19","6/2/17","6/30/18","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62-GRAIN) STANDARD DUTY AMMUNITION"
"903","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",1469310,1469310,"6/29/17","7/20/18","6/29/17","10/26/17","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"904","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",208127.22,208127.22,"6/13/17","2/4/20","6/13/17","8/11/17","DISTRICT OF COLUMBIA","SMALL ARMS AMMUNITION MANUFACTURING",".40 CALIBER JACKETED HOLLOW POINT AMMUNITION"
"905","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",115240,115240,"6/15/17","4/25/22","6/15/17","10/30/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","IGF::CT::IGF  .223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO  CASES: 268 @ 900 ROUNDS PER CASE CONTRACT: HSCEMS-13-D-00001 CBP DELIVERY:THOMAS O'KANE BLDG. 11169 DUNCAN&SSG SIMMS STREET BIGGS AAF EL PASO TX., 79916"
"906","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",33360.06,33360.06,"6/29/17","8/31/18","6/29/17","7/20/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
"907","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",667.14,667.14,"7/5/17","4/12/18","7/5/17","10/6/17","WEST VIRGINIA","SMALL ARMS AMMUNITION MANUFACTURING","COMMERCIAL LEAD TRAINING AMMUNITION (CLTA)"
"908","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",7310,7310,"7/19/17","4/9/19","7/19/17","12/31/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".223 REMINGTON CALIBER (62 GRAIN) STANDARD DUTY (SD) AMMO"
"909","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",2015760,2015760,"7/7/17","4/30/23","7/7/17","1/8/18","DISTRICT OF COLUMBIA","SMALL ARMS AMMUNITION MANUFACTURING","AMMUNITION"
"910","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",50394,50394,"7/13/17","5/1/18","7/13/17","5/14/18","UTAH","SMALL ARMS AMMUNITION MANUFACTURING","200 CASES PF .40 CALIBER JACKETED HOLLOW POINT AMMUNITION"
"911","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",187945,187945,"7/21/17","4/26/18","7/21/17","10/21/17","MINNESOTA","SMALL ARMS AMMUNITION MANUFACTURING",".40 FRANGIBLE AMMUNITION"
"912","VISTA OUTDOOR SALES LLC","AMMUNITION, THROUGH 30MM",46986,46986,"7/11/17","4/25/22","7/11/17","10/10/17","PENNSYLVANIA","SMALL ARMS AMMUNITION MANUFACTURING","REDUCED HAZARD TRAINING AMMUNITION (RHTA)"
